Address,Establishment Name,Code Description,Date Cited,Date Corrected,Status
"784 Main St
Cambridge, MA
(42.363231, -71.096905)",Royal East Restaurant,Non-Food Contact Surfaces Clean,03/09/2017 12:00:00 AM,04/06/2017 12:00:00 AM,Corrected
"304 Prospect St
Cambridge, MA
(42.372797, -71.098566)",Al Barah Market,Food Contact Surfaces Cleaned And Sanitized,06/23/2017 12:00:00 AM,07/05/2017 12:00:00 AM,Corrected
"350 THIRD ST
Cambridge, MA
(42.363748, -71.083529)",Evoo Za,Installed And Maintained,01/25/2016 12:00:00 AM,01/25/2016 12:00:00 AM,Corrected
"738 Massachusetts Ave
Cambridge, MA
(42.366187, -71.105044)",Cantab Lounge,Food Contact Surfaces Clean,05/25/2018 12:00:00 AM,06/08/2018 12:00:00 AM,Corrected
"407 Memorial Dr
Cambridge, MA
(42.35587, -71.097225)",Kappa Sigma,Good Hygienic Practices,11/18/2013 12:00:00 AM,12/04/2013 12:00:00 AM,Corrected
"8 CARLETON ST
Cambridge, MA
(42.360793, -71.086352)",Mama goose Asian Bistro,Food Utensils Properly Stored,05/06/2015 12:00:00 AM,05/06/2015 12:00:00 AM,Corrected
"1030 Massachusetts Ave
Cambridge, MA
(42.369681, -71.112186)",Waypoint,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",06/06/2018 12:00:00 AM,06/13/2018 12:00:00 AM,Corrected
"345 Cambridge St
Cambridge, MA
(42.371266, -71.08183)",Arams2,"Outside Storage Area Clean, Properly Constructed",01/11/2016 12:00:00 AM,01/19/2016 12:00:00 AM,Corrected
"407 Memorial Dr
Cambridge, MA
(42.35587, -71.097225)",Kappa Sigma,Installed And Maintained,11/12/2014 12:00:00 AM,11/19/2014 12:00:00 AM,Corrected
"50 Broadway
Cambridge, MA
(42.363189, -71.085612)",Champions,"Wiping Cloths, Clean, Sanitized, Use Restricted",09/24/2015 12:00:00 AM,05/07/2019 06:00:33 AM,Corrected
"781 Main St
Cambridge, MA
(42.363229, -71.096883)",Beijing Tokyo II,Facilities To Maintain Product Temperature,04/28/2014 12:00:00 AM,05/07/2014 12:00:00 AM,Corrected
"2245 MASSACHUSETTS AVE
Cambridge, MA
(42.394086, -71.126452)",7-Eleven,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",02/05/2019 12:00:00 AM,02/12/2019 12:00:00 AM,Corrected
"315 Massachusetts Ave
Cambridge, MA
(42.362377, -71.098632)",Middlesex Lounge,Food Contact Surfaces Clean,11/02/2016 12:00:00 AM,11/10/2016 12:00:00 AM,Corrected
"54 JFK ST
Cambridge, MA
(42.372008, -71.120652)",Boston Tea Stop,Hot And Cold Holding,02/18/2016 12:00:00 AM,03/14/2016 12:00:00 AM,Corrected
"1369 CAMBRIDGE ST
Cambridge, MA
(42.373667, -71.100383)",1369 Coffeehouse,"Water Safe, Hot And Cold Under Pressure",03/08/2017 12:00:00 AM,03/21/2017 12:00:00 AM,Corrected
"157 Sixth St
Cambridge, MA
(42.366558, -71.085974)",Discovery Cafe,"Food Contact Surfaces Designed, Maint. ,Installed",01/07/2015 12:00:00 AM,01/14/2015 12:00:00 AM,Corrected
"57 Jfk St
Cambridge, MA
(42.37201, -71.120651)",The Maharaja,"Food Protection, Storage, Display, Transportation",10/10/2017 12:00:00 AM,11/13/2017 12:00:00 AM,Corrected
"33 Dunster St
Cambridge, MA
(42.372535, -71.119191)",John Harvard's Brew House,Hot And Cold Holding,12/01/2015 12:00:00 AM,12/08/2015 12:00:00 AM,Corrected
"55 Broadway
Cambridge, MA
(42.363189, -71.085383)",Regent Cafe,"Wiping Cloths, Clean, Sanitized, Use Restricted",11/07/2018 12:00:00 AM,11/29/2018 12:00:00 AM,Corrected
"645 CAMBRIDGE ST
Cambridge, MA
(42.371951, -71.087165)",Silk Road,Non-Food Contact Surfaces Clean,05/08/2018 12:00:00 AM,05/22/2018 12:00:00 AM,Corrected
"92 HAMPSHIRE ST
Cambridge, MA
(42.368833, -71.094864)",Lord Hobo,"Adequate Lighting, Fixtures Shielded",11/22/2016 12:00:00 AM,11/29/2016 12:00:00 AM,Corrected
"1124 CAMBRIDGE ST
Cambridge, MA
(42.373091, -71.095931)",Midwest Grill,"Walls,Celing,Attached Equip.,Constructed,Clean,",02/07/2018 12:00:00 AM,02/21/2018 12:00:00 AM,Corrected
"50 Broadway
Cambridge, MA
(42.363189, -71.085612)",Champions,Food Contact Surfaces Clean,09/24/2015 12:00:00 AM,10/19/2015 12:00:00 AM,Corrected
"79 Jfk St
Cambridge, MA
(42.370793, -71.121628)",Kennedy School,"Food Protection, Storage, Display, Transportation",10/25/2013 12:00:00 AM,11/01/2013 12:00:00 AM,Corrected
"2362 Massachusetts Ave
Cambridge, MA
(42.396406, -71.129193)",VIP Convenience,"Premises, Maintained, Unnecessary Articles, Main-",05/09/2016 12:00:00 AM,05/24/2016 12:00:00 AM,Corrected
"472 Massachusetts Ave
Cambridge, MA
(42.363916, -71.101226)",Middle East Restaurant,Hot And Cold Holding,03/04/2013 12:00:00 AM,03/11/2013 12:00:00 AM,Cited
"400 MEMORIAL DR
Cambridge, MA
(42.356029, -71.096754)",Phi Beta Epsilon,Permit to Operate,05/14/2018 12:00:00 AM,05/07/2019 06:00:31 AM,Cited
"16 GARDEN ST
Cambridge, MA
(42.377494, -71.123033)",Sheraton Commander Hotel - Nubar,Clean Equipment And Utensils Properly Stored,04/16/2019 12:00:00 AM,04/29/2019 12:00:00 AM,Corrected
"20 University Rd
Cambridge, MA
(42.372358, -71.123817)",Legal sea Foods,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",08/15/2013 12:00:00 AM,05/07/2019 06:00:32 AM,Cited
"208 Concord Ave
Cambridge, MA
(42.382385, -71.130947)",Hi rise bread,"Wiping Cloths, Clean, Sanitized, Use Restricted",08/22/2013 12:00:00 AM,08/30/2013 12:00:00 AM,Corrected
"8 ELIOT SQ
Cambridge, MA
(42.372571, -71.121635)",Falafel Corner,"Food Protection, Storage, Display, Transportation",03/19/2018 12:00:00 AM,03/26/2018 12:00:00 AM,Corrected
"822 SOMERVILLE AVE
Cambridge, MA
(42.38829, -71.118668)",Walgreens,Hot And Cold Holding,10/14/2014 12:00:00 AM,10/21/2014 12:00:00 AM,Corrected
"1815 Massachusetts Ave
Cambridge, MA
(42.387126, -71.119111)",Shaking Crab,Food Contact Surfaces Clean,04/09/2018 12:00:00 AM,04/23/2018 12:00:00 AM,Corrected
"1667 mass
Cambridge, MA
(42.382161, -71.119634)",Cambridge Common,Facilities To Maintain Product Temperature,05/21/2013 12:00:00 AM,05/07/2019 06:00:30 AM,Cited
"52 Oxford St
Cambridge, MA
(42.377068, -71.115995)",Northwest Cafe,"Adequate Lighting, Fixtures Shielded",04/02/2015 12:00:00 AM,04/09/2015 12:00:00 AM,Corrected
"47 Palmer St
Cambridge, MA
(42.374194, -71.120134)",Club Passim,Equipment Thermometers and Pressure Gauge,03/03/2016 12:00:00 AM,05/07/2019 06:00:35 AM,Cited
"10 Eliot St
Cambridge, MA
(42.372481, -71.121702)",Charlie's Kitchen/red House,"Food Protection, Storage, Display, Transportation",10/23/2014 12:00:00 AM,10/31/2014 12:00:00 AM,Corrected
"781 Main St
Cambridge, MA
(42.363229, -71.096883)",Beijing Tokyo,"Walls,Celing,Attached Equip.,Constructed,Clean,",09/17/2018 12:00:00 AM,09/24/2018 12:00:00 AM,Corrected
"360 BINNEY ST
Cambridge, MA
(42.367113, -71.089274)",Sodexo @ Amgen,No Spoilage,04/01/2013 12:00:00 AM,04/08/2013 12:00:00 AM,Cited
"2180 MASSACHUSETTS AVE
Cambridge, MA
(42.392532, -71.12485)",Nimah Market,"Three compartment Sink Provided, Drainboards",06/30/2016 12:00:00 AM,07/25/2016 12:00:00 AM,Corrected
"359 HURON AVE
Cambridge, MA
(42.381217, -71.138408)",Village Kitchen,Rooms And Equipment Vented,06/20/2017 12:00:00 AM,07/11/2017 12:00:00 AM,Corrected
"8 HOLYOKE ST
Cambridge, MA
(42.372744, -71.118126)",En Boca,Test Kit Provided,05/03/2017 12:00:00 AM,05/10/2017 12:00:00 AM,Corrected
"783 MAIN ST
Cambridge, MA
(42.363231, -71.096907)",Primo Pizza & Roast Beef,Permit to Operate,09/06/2016 12:00:00 AM,09/07/2016 12:00:00 AM,Corrected
"0 Brattle St
Cambridge, MA",Tealuxe,"Flrs, Constd, Cln, Good Rpr, Dustless Clning Meth.",08/03/2016 12:00:00 AM,08/22/2016 12:00:00 AM,Corrected
"485 Massachusetts Ave
Cambridge, MA
(42.363994, -71.101357)",Happy Lamb Hot Pot,"Water Safe, Hot And Cold Under Pressure",02/23/2017 12:00:00 AM,03/09/2017 12:00:00 AM,Corrected
"675 West Kendall St
Cambridge, MA
(42.364615, -71.081833)",Squeaky Beaker,"Three compartment Sink Provided, Drainboards",02/10/2014 12:00:00 AM,02/18/2014 12:00:00 AM,Corrected
"251 Cambridge St
Cambridge, MA
(42.371056, -71.080149)",Royal Punjab,Clean Equipment And Utensils Properly Stored,08/05/2016 12:00:00 AM,08/12/2016 12:00:00 AM,Corrected
"1380 Massachusetts Ave
Cambridge, MA
(42.373464, -71.11936)",Starbucks,"Premises, Maintained, Unnecessary Articles, Main-",02/28/2018 12:00:00 AM,03/21/2018 12:00:00 AM,Corrected
"30 HOLYOKE ST
Cambridge, MA
(42.371586, -71.118802)",The Owl Club,Permit to Operate,11/12/2014 12:00:00 AM,11/13/2014 12:00:00 AM,Corrected
"101 Main St
Cambridge, MA
(42.362424, -71.08467)",Tatte,"Labeling Of Ingredients, Accuracy, Allergens",09/23/2014 12:00:00 AM,10/01/2014 12:00:00 AM,Corrected
"32 Vassar St
Cambridge, MA
(42.361318, -71.092561)",Forbes Family Cafe,Food Utensils Properly Stored,11/19/2013 12:00:00 AM,01/27/2014 12:00:00 AM,Corrected
"178 Elm St N
Cambridge, MA
(42.371109, -71.096495)",Casa Benfica,"Food Protection, Storage, Display, Transportation",11/29/2018 12:00:00 AM,12/06/2018 12:00:00 AM,Corrected
"1706 Massachusetts Ave
Cambridge, MA
(42.38319, -71.119637)",Harvard House of Pizza,"Proper, Adequate, Handwashing",11/24/2014 12:00:00 AM,12/08/2014 12:00:00 AM,Corrected
"744 MASSACHUSETTS AVE
Cambridge, MA
(42.366316, -71.105264)",ABC Pizza,"Food Contact Surfaces Designed, Maint. ,Installed",01/10/2019 12:00:00 AM,01/17/2019 12:00:00 AM,Corrected
"1815 Massachusetts Ave
Cambridge, MA
(42.387126, -71.119111)",Sapporo Ramen,Food Utensils Properly Stored,12/26/2018 12:00:00 AM,01/03/2019 12:00:00 AM,Corrected
"1500 Cambridge St
Cambridge, MA
(42.374208, -71.10463)",Kohlbeh of Kabob,Installed And Maintained,02/12/2014 12:00:00 AM,05/30/2014 12:00:00 AM,Corrected
"1121 Cambridge St
Cambridge, MA
(42.37308, -71.09585)",Faialense,"Adequate Lighting, Fixtures Shielded",12/10/2015 12:00:00 AM,12/17/2015 12:00:00 AM,Corrected
"1281 Cambridge St
Cambridge, MA
(42.373473, -71.098823)",Bukowski Tavern,Food Contact Surfaces Cleaned And Sanitized,12/06/2018 12:00:00 AM,12/13/2018 12:00:00 AM,Corrected
"1238 Massachusetts Ave
Cambridge, MA
(42.372464, -71.115924)",Hong Kong,"Hand Cleanser, Hand Drying, Toilet Tissue, Signage",07/29/2014 12:00:00 AM,08/05/2014 12:00:00 AM,Corrected
"2310 Massachusetts Ave
Cambridge, MA
(42.395485, -71.128161)",Frank's Steak House,Test Kit Provided,10/26/2015 12:00:00 AM,11/09/2015 12:00:00 AM,Corrected
